refArea,Number of cases,Observation URI,references,publisher,disease,dataset,refPeriod
https://dbpedia.org/resource/Beqaa_Valley,2,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-01-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/01-2015
https://dbpedia.org/resource/Beqaa_Valley,8,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-02-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/02-2015
https://dbpedia.org/resource/Beqaa_Valley,3,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-03-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/03-2015
https://dbpedia.org/resource/Beqaa_Valley,0,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-04-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/04-2015
https://dbpedia.org/resource/Beqaa_Valley,2,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-05-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/05-2015
https://dbpedia.org/resource/Beqaa_Valley,2,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-06-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/06-2015
https://dbpedia.org/resource/Beqaa_Valley,2,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-07-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/07-2015
https://dbpedia.org/resource/Beqaa_Valley,7,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-08-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/08-2015
https://dbpedia.org/resource/Beqaa_Valley,3,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-09-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/09-2015
https://dbpedia.org/resource/Beqaa_Valley,1,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-10-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/10-2015
https://dbpedia.org/resource/Beqaa_Valley,0,http://linked.aub.edu.lb/CODEC/observation/Bekaa-2015-11-Viral_Hepatitis_B,https://www.moph.gov.lb/userfiles/files/Esu_data/Esu_pastyears/Bekaa2015.htm,Ministry of Public Health,http://dbpedia.org/resource/Hepatitis,http://linked.aub.edu.lb/CODEC/Dataset/Viral_Hepatitis_B,http://server/unset-base/11-2015
