Region,City,Voting Center,Religion,Voters,Actual Voters,Discarded Votes,White Cards,Eligible Votes with White Cards
البترون,اجدبرا ,مبنى البلدية - غرفة رقم 1,ماروني,353,213,1,3,212
البترون,اده ,المدرسة الرسمية - غرفة رقم 1,ماروني,301,219,0,1,219
البترون,اده ,صالة كنيسة مار سابا - غرفة رقم 2,ماروني,325,262,0,1,262
البترون,آسيا ,قاعة الكنيسة - غرفة رقم 1,ماروني,438,235,13,0,222
البترون,آسيا ,قاعة الكنيسة - غرفة رقم 2,ماروني,459,262,2,0,260
البترون,البترون ,التكميلية الرسمية المختلطة - غرفة رقم 1,ماروني,545,304,8,2,296
البترون,البترون ,التكميلية الرسمية المختلطة - غرفة رقم 2,ماروني,552,261,2,2,259
البترون,البترون ,التكميلية الرسمية المختلطة - غرفة رقم 3,ماروني,531,238,4,3,234
البترون,البترون ,التكميلية الرسمية للبنات - غرفة رقم 1,روم ارثوذكس,556,240,5,8,235
البترون,البترون ,التكميلية الرسمية للبنات - غرفة رقم 2,مختلف,572,234,12,5,222
البترون,البترون ,التكميلية الرسمية للبنات - غرفة رقم 3,مسيحي,549,228,4,0,224
البترون,البترون ,التكميلية الرسمية للبنات - غرفة رقم 4,مختلف,435,155,2,0,153
البترون,البترون ,المدرسة الثانوية - غرفة رقم 1,ماروني,527,226,4,2,222
البترون,البترون ,المدرسة الثانوية - غرفة رقم 2,ماروني,545,315,7,7,308
البترون,البترون ,المدرسة الثانوية - غرفة رقم 3,ماروني,529,259,9,1,250
البترون,البترون ,المدرسة الثانوية - غرفة رقم 4,ماروني,552,284,10,5,274
البترون,البترون ,المدرسة الثانوية - غرفة رقم 5,ماروني,563,264,6,1,258
البترون,البترون موظفون ,سراي البترون - غرفة رقم 1,مختلف,297,287,0,6,287
البترون,العلالي ,مركز نادي البلدة - غرفة رقم 1,ماروني,156,96,3,0,93
البترون,الفتاحات وحربونا ,ساحة مار جرجس - غرفة رقم 1,ماروني,129,67,2,1,65
البترون,الهري ,المدرسة الرسمية - غرفة رقم 1,سني,399,206,4,2,202
البترون,الهري ,المدرسة الرسمية - غرفة رقم 2,سني,432,201,13,3,188
البترون,بجدرفل ,المدرسة الرسمية - غرفة رقم 1,ماروني,430,302,3,0,299
البترون,بجدرفل ,المدرسة الرسمية - غرفة رقم 2,ماروني,445,305,3,2,302
البترون,بشتودار ,مدرسة البلدة - غرفة رقم 1,مختلف,373,179,6,0,173
البترون,بشعله ,مركز البلدية المستحدث في بشعلة - غرفة رقم 1,ماروني,486,271,1,1,270
البترون,بشعله ,مركز البلدية المستحدث في بشعلة - غرفة رقم 2,ماروني,468,242,1,0,241
البترون,بشعله ,مركز البلدية المستحدث في بشعلة - غرفة رقم 3,ماروني,491,268,1,0,267
البترون,بقسميا ,المدرسة الرسمية - غرفة رقم 1,ماروني,446,252,7,1,245
البترون,بقسميا ,المدرسة الرسمية - غرفة رقم 2,ماروني,474,291,3,0,288
البترون,بيت شلالا ,المدرسة الرسمية - غرفة رقم 1,ماروني,334,119,4,0,115
البترون,بيت شلالا ,المدرسة الرسمية - غرفة رقم 2,ماروني,325,138,0,0,138
البترون,تحوم ,المدرسة الرسمية - غرفة رقم 1,ماروني,441,307,5,6,302
البترون,تنورين التحتا ,تكميلية تنورين التحتا الرسمية - غرفة رقم 1,ماروني,480,255,2,3,253
البترون,تنورين التحتا ,تكميلية تنورين التحتا الرسمية - غرفة رقم 2,ماروني,506,229,6,1,223
البترون,تنورين التحتا ,تكميلية تنورين التحتا الرسمية - غرفة رقم 3,ماروني,481,262,1,3,261
البترون,تنورين التحتا ,تكميلية تنورين التحتا الرسمية - غرفة رقم 4,ماروني,514,251,0,2,251
البترون,تنورين الفوقا ,التكميلية الرسمية - غرفة رقم 1,ماروني,587,313,6,3,307
البترون,تنورين الفوقا ,التكميلية الرسمية - غرفة رقم 2,ماروني,574,302,3,4,299
