,Unnamed: 0,district,Eligible Voters,Actual Voters,Invalid Votes,white votes,area
0,0,البترون,63647,33796,469,308,El Batroun
1,1,الشوف,213335,108861,2002,1020,Chouf
2,2,الكورة,69461,27758,558,303,El Koura
3,3,المتن,183740,92446,2044,558,El Meten
4,4,النبطية,150864,82096,1151,783,El Nabatieh
5,5,الهرمل,52561,31709,504,106,El Hermel
6,6,بشري,51100,19812,244,143,Bcharre
7,7,بعلبك,271336,158559,2695,595,Baalbek
8,8,بنت جبيل,157632,65271,648,591,Bent Jbeil
9,9,بيروت الأولى,134003,42775,1012,302,Beirut
10,10,جب جنين,98679,47972,1314,336,Jeb Jannine
11,11,جبيل,84231,54400,965,263,Jbeil
12,12,جزين,61294,31764,491,218,Jezzine
13,13,حاصبيا,48119,21398,288,191,Hasbaya
14,14,راشيا,48829,20255,431,205,Rachaya
15,15,زحلة,493411,94082,2414,545,Zahle
16,16,زغرتا,88189,36445,744,376,Zgharta
17,17,صور,195885,91390,1645,925,Sour
18,18,صيدا,60738,34062,1066,581,Saida
19,19,طرابلس,239068,94047,3678,1654,Tripoli
20,20,عاليه,130063,64191,678,477,Aley
21,21,عكار,294225,137550,3543,845,Akkar
22,22,قرى صيدا,96863,48776,1095,654,Qrayeh Sidon
23,23,كسروان,95972,63203,1019,202,Kesrwane
24,24,مرجعيون,106538,48618,590,336,Marjaayoun
25,25,,113668,56869,1616,613,El Minieh-Dennie
26,26,,532875,227179,5547,1611,Baabda
