,Unnamed: 0,district,sect,Eligible Voters,Actual Voters,Invalid Votes,white votes
0,0,El Batroun,روم ارثوذكس,9576,4100,46,48
1,1,El Batroun,روم كاثوليك,942,288,2,1
2,2,El Batroun,سني,2419,1251,40,30
3,3,El Batroun,شيعي,686,426,3,4
4,4,El Batroun,ماروني,41693,22993,307,184
5,5,El Batroun,مختلف,6094,3676,64,34
6,6,El Batroun,مسيحي,2237,1062,7,7
7,7,Chouf,درزي,55464,29773,453,337
8,8,Chouf,روم كاثوليك,5529,2201,30,17
9,9,Chouf,سني,58240,31256,654,353
10,10,Chouf,شيعي,2986,1705,88,16
11,11,Chouf,ماروني,46488,21680,388,112
12,12,Chouf,مختلف,30073,15427,288,140
13,13,Chouf,مسلم,1714,1079,13,10
14,14,Chouf,مسيحي,12841,5740,88,35
15,15,El Minieh-Dennie,روم ارثوذكس,4194,1341,30,14
16,16,El Minieh-Dennie,سني,50476,28085,790,270
17,17,El Minieh-Dennie,ماروني,6482,1650,26,21
18,18,El Minieh-Dennie,مختلف,6421,3131,90,61
19,19,El Minieh-Dennie,مسلم,632,335,10,2
20,20,El Koura,روم ارثوذكس,40533,14541,264,132
21,21,El Koura,سني,5677,3265,97,74
22,22,El Koura,شيعي,611,324,6,1
23,23,El Koura,ماروني,9685,3335,48,30
24,24,El Koura,مختلف,7704,4036,76,51
25,25,El Koura,مسلم,361,258,1,0
26,26,El Koura,مسيحي,4890,1999,66,15
27,27,El Meten,أرمن ارثوذكس,20911,6025,152,72
28,28,El Meten,أرمن كاثوليك,5422,1266,29,14
29,29,El Meten,إنجيلي,1187,500,12,3
30,30,El Meten,روم ارثوذكس,16553,8570,193,52
31,31,El Meten,روم كاثوليك,4714,2673,45,14
32,32,El Meten,سريان ارثوذكس,1490,524,16,5
33,33,El Meten,سني,640,228,13,2
34,34,El Meten,شيعي,2753,1269,23,11
35,35,El Meten,ماروني,66228,38465,759,192
36,36,El Meten,مختلف,16512,8536,248,53
37,37,El Meten,مسلم,1189,740,68,11
38,38,El Meten,مسيحي,46141,23650,486,129
39,39,El Minieh-Dennie,روم ارثوذكس,2596,1041,14,19
40,40,El Minieh-Dennie,سني,40647,20382,641,215
41,41,El Minieh-Dennie,مختلف,1131,618,10,6
42,42,El Minieh-Dennie,مسيحي,1089,286,5,5
